AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ACUMULACION (mm),PROMEDIO
1961,9.0,3.0,16.5,1.6,32.1,203.1,182.7,78.7,84.9,7.7,11.3,4.0,634.6,52.9
1962,0.0,0.0,4.0,73.2,46.5,107.9,86.1,134.2,120.2,87.7,6.5,18.5,684.8,57.1
1963,0.0,0.0,24.0,12.3,61.3,104.3,146.7,113.0,83.0,72.5,6.2,0.0,623.3,51.9
1964,18.1,0.0,9.6,3.5,95.9,123.9,124.3,67.8,62.9,17.4,8.8,3.3,535.5,44.6
1965,6.0,22.7,0.0,51.3,51.5,120.4,165.6,177.22,47.01,66.72,0.01,13.0,721.46,60.1
1966,12.5,1.33,47.62,30.92,31.73,129.61,196.41,156.54,76.54,41.83,0.0,3.5,728.53,60.7
1967,91.0,0.0,3.4,52.3,37.4,97.4,161.0,190.2,151.0,50.2,9.3,4.2,847.4,70.6
1968,16.3,17.5,0.01,59.1,44.62,203.21,129.87,77.62,73.47,74.96,1.2,15.9,713.76,59.5
1969,12.6,1.6,7.5,7.3,12.1,67.2,133.1,161.4,179.1,6.3,0.0,0.0,588.2,49.0
1970,3.2,4.8,0.0,10.5,24.3,96.4,188.7,165.2,110.3,79.4,0.0,0.0,682.8,56.9
1971,0.0,1.7,14.3,31.6,25.1,111.5,79.6,113.0,105.5,26.3,11.4,16.7,536.7,44.7
1972,0.0,1.4,19.3,45.2,164.0,85.3,198.0,111.5,104.8,60.8,18.7,0.0,809.0,67.4
1973,0.0,4.8,0.6,23.2,87.2,109.1,142.8,125.2,97.8,74.8,14.7,0.0,680.2,56.7
1974,0.0,0.0,28.9,38.2,40.1,118.4,84.5,115.9,55.8,25.5,6.5,0.0,513.8,42.8
1975,35.5,0.9,1.8,2.9,124.6,102.9,88.8,187.0,68.6,19.8,0.0,0.0,632.8,52.7
1976,0.5,7.5,23.8,43.1,87.8,61.6,163.4,174.6,180.9,118.6,5.8,21.0,888.6,74.0
1977,1.0,9.4,0.0,3.8,77.5,79.7,88.8,55.3,115.4,34.4,18.2,4.5,488.0,40.7
1978,3.8,15.8,60.7,1.0,23.9,154.0,206.4,91.5,89.9,65.9,8.5,0.5,721.9,60.2
1979,0.0,21.9,0.6,15.9,56.5,82.0,134.3,149.6,122.6,1.4,0.0,32.7,617.5,51.5
1980,56.4,1.8,3.3,55.2,24.9,42.3,51.6,126.6,73.1,71.7,20.9,0.0,527.8,44.0
1981,26.4,25.6,9.1,26.1,52.7,115.2,102.3,113.8,75.5,53.4,3.7,2.6,606.4,50.5
1982,0.0,17.3,0.5,15.4,75.9,62.7,139.2,58.8,26.9,35.7,0.3,1.2,433.9,36.2
1983,10.3,15.6,12.0,0.0,7.6,53.4,163.5,95.3,77.9,35.7,5.4,2.5,479.2,39.9
1984,11.7,5.83,2.06,3.53,72.07,85.89,144.74,97.65,76.46,42.53,0.0,2.61,545.07,45.4
1985,0.01,16.63,15.03,26.68,30.33,161.85,122.87,69.68,130.24,15.91,10.1,11.4,610.73,50.9
1986,0.0,0.0,0.0,37.49,94.87,134.73,185.14,165.52,54.95,52.47,8.45,2.01,735.63,61.3
