AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ACUMULACION (mm),PROMEDIO
1961,3.8,3.0,14.5,0.8,12.0,33.6,28.2,23.5,19.2,3.3,5.1,4.0,151.0,12.6
1962,0.0,0.0,3.0,27.2,14.0,25.7,22.2,33.2,22.5,38.6,6.5,18.2,211.1,17.6
1963,0.0,0.0,16.1,10.2,24.6,19.5,18.5,20.3,17.2,14.0,6.2,0.0,146.6,12.2
1964,7.3,0.0,9.3,3.5,20.0,25.6,20.5,16.6,17.3,6.5,7.1,2.3,136.0,11.3
1965,4.3,20.5,0.0,23.5,19.7,33.8,35.2,35.9,14.2,15.2,0.01,7.9,210.21,17.5
1966,7.8,1.3,30.2,13.2,15.6,43.5,36.4,29.4,25.2,11.4,0.0,2.4,216.4,18.0
1967,58.5,0.0,1.3,20.0,10.9,23.8,30.6,42.3,29.9,22.7,9.3,4.2,253.5,21.1
1968,10.9,8.9,0.01,14.3,11.4,34.3,20.5,13.9,13.5,27.6,1.2,6.2,162.71,13.6
1969,5.6,1.6,5.3,4.2,6.5,16.7,22.4,29.7,38.8,3.2,0.0,0.0,134.0,11.2
1970,3.2,4.3,0.0,10.5,8.6,16.4,21.6,30.2,25.0,43.2,0.0,0.0,163.0,13.6
1971,0.0,1.7,9.2,28.5,11.3,36.2,20.5,23.2,34.2,7.2,7.3,16.7,196.0,16.3
1972,0.0,1.4,6.5,15.2,80.2,21.2,42.5,23.2,22.2,18.5,5.6,0.0,236.5,19.7
1973,0.0,4.8,0.6,7.2,17.4,23.8,40.9,26.4,24.8,25.6,8.2,0.0,179.7,15.0
1974,0.0,0.0,19.3,21.2,16.5,20.5,20.2,42.5,14.5,24.2,6.0,0.0,184.9,15.4
1975,16.6,0.9,1.8,2.9,24.7,18.5,14.7,37.3,17.0,6.7,0.0,0.0,141.1,11.8
1976,0.5,5.0,21.0,8.3,26.5,25.0,28.5,49.3,33.0,35.3,4.0,14.0,250.4,20.9
1977,1.0,9.0,0.0,2.0,27.5,16.7,30.9,16.0,32.5,20.5,7.2,3.2,166.5,13.9
1978,3.8,7.6,36.4,1.0,5.6,19.0,32.5,14.2,42.3,15.8,4.7,0.5,183.4,15.3
1979,0.0,7.4,0.6,8.6,14.5,18.6,40.5,27.8,31.5,0.9,0.0,12.2,162.6,13.6
1980,17.5,1.0,3.3,15.5,7.6,11.6,11.2,20.0,15.9,20.0,7.3,0.0,130.9,10.9
1981,23.5,9.0,5.8,8.2,17.5,21.3,21.4,30.5,22.8,16.5,3.7,1.8,182.0,15.2
1982,0.0,6.5,0.5,9.4,33.3,11.0,17.6,13.3,13.0,20.3,0.3,0.9,126.1,10.5
1983,8.8,13.2,8.5,0.0,4.9,16.4,30.8,25.3,12.0,13.8,2.8,2.5,139.0,11.6
1984,9.5,3.9,1.0,3.2,14.1,14.5,24.3,19.0,15.8,17.1,0.0,1.8,124.2,10.4
1985,0.01,15.2,11.5,7.1,7.3,37.7,33.8,14.5,22.2,8.2,10.1,10.4,178.01,14.8
1986,0.0,0.0,0.0,8.3,50.2,27.2,31.7,44.6,15.9,24.3,2.5,2.0,206.7,17.2
1987,0.0,0.3,8.3,6.2,5.7,27.8,18.9,73.2,36.4,0.0,9.2,0.0,186.0,15.5
1988,0.0,0.2,45.8,18.9,11.7,14.0,31.4,16.8,42.6,7.9,0.01,0.0,189.31,15.8
1989,1.7,1.5,2.4,3.5,8.5,48.4,10.5,24.9,18.1,8.6,10.2,7.7,146.0,12.2
